"loan_amnt","term","int_rate","addr_state","dti","delinq_2yrs","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","collections_12_mths_ex_med","application_type","acc_now_delinq","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","has_major_derog","has_delinq","has_public_record","has_credit_summary","earliest_cr_line_age_years","employed_flag","home_ownership.MORTGAGE","home_ownership.OTHER","home_ownership.OWN","purpose.credit_card","purpose.debt_consolidation","purpose.home_improvement","annual_inc_log","pub_rec_flag","verification_status.Source.Verified","verification_status.Verified"
11925," 36 months",12.69,"AZ",19.66,0,2,11,3204,14,18,0,"INDIVIDUAL",0,7278,39449,22250,1,0,0,1,23.827397260274,1,0,0,0,0,1,0,11.002116507732,0,0,0
24000," 36 months",9.91,"NJ",12.23,0,1,5,12536,68.1,14,0,"INDIVIDUAL",0,0,80647,23700,0,0,0,0,20.7506849315069,1,0,0,0,0,0,0,11.643962499268,0,1,0
35000," 36 months",11.22,"NJ",17.03,1,0,6,3777,20.8,17,0,"INDIVIDUAL",0,0,36822,18200,1,1,0,1,30.7506849315069,1,1,0,0,0,1,0,11.3504183001091,0,1,0
25000," 60 months",13.33,"MD",16.21,0,0,9,11540,34.2,18,0,"INDIVIDUAL",0,0,40181,33700,0,0,1,1,48.9972602739726,1,0,0,0,0,1,0,11.2252567257629,1,0,0
1325," 36 months",13.67,"VA",31.83,0,0,16,27782,63.4,22,0,"INDIVIDUAL",0,0,248944,43800,0,0,0,1,29.7506849315069,1,1,0,0,0,1,0,10.6919676399149,0,1,0
15000," 36 months",12.99,"WI",33.93,0,0,16,17587,79.6,53,0,"INDIVIDUAL",0,0,60527,22100,0,0,0,1,24.0794520547945,1,0,0,0,0,1,0,10.7789771230064,0,0,1
10150," 60 months",13.99,"TX",19.61,1,0,10,5322,49.7,16,0,"INDIVIDUAL",0,774,18919,10700,0,1,0,1,29.9123287671233,1,0,0,0,0,1,0,10.6919676399149,0,1,0
5000," 36 months",7.9,"GA",27.19,0,0,6,18327,50.2,22,0,"INDIVIDUAL",0,0,85378,36500,0,0,0,1,28.7506849315069,1,1,0,0,1,0,0,10.5453677541517,0,1,0
8000," 60 months",16.82,"FL",22.32,0,4,19,19879,78.6,44,0,"INDIVIDUAL",0,0,80647,23700,0,1,0,0,35.2465753424658,1,1,0,0,0,1,0,11.0349057929294,0,1,0
12550," 60 months",18.99,"AL",17.84,0,1,13,12789,88.8,20,0,"INDIVIDUAL",0,0,12789,14400,1,1,0,1,28.1643835616438,1,0,0,0,1,0,0,10.3089859934221,0,0,1
7400," 36 months",9.17,"AZ",11.01,0,1,5,3033,19,38,0,"INDIVIDUAL",0,0,10498,16000,1,1,1,1,42.0794520547945,1,0,0,0,0,1,0,10.7144399907278,1,1,0
4900," 36 months",8.18,"NC",13.66,0,1,34,24567,40,45,0,"INDIVIDUAL",0,0,99117,61400,0,1,0,1,38.6657534246575,0,0,0,0,1,0,0,11.3385839825165,0,1,0
28000," 36 months",6.49,"AZ",13.31,0,3,20,34318,30.3,45,0,"INDIVIDUAL",0,0,271577,113200,0,0,0,1,29.2465753424658,1,0,0,1,0,1,0,11.7752974217158,0,1,0
9700," 36 months",10.99,"NJ",7.62,0,0,10,3733,76.2,18,0,"INDIVIDUAL",0,0,307002,4900,1,1,0,1,22.0794520547945,1,1,0,0,1,0,0,10.8590182281479,0,0,1
24000," 36 months",12.59,"NC",14.91,0,0,11,28333,85.1,25,0,"INDIVIDUAL",0,1033,182143,33300,0,0,0,1,33.7506849315068,1,1,0,0,1,0,0,11.4020050773849,0,0,1
24925," 60 months",19.52,"WV",25.73,0,1,15,30293,41.5,22,0,"INDIVIDUAL",0,0,57971,73000,0,0,0,1,21.3315068493151,1,1,0,0,0,1,0,10.8197982842103,0,1,0
32000," 60 months",13.99,"OH",32.66,2,1,14,21031,92.2,22,0,"INDIVIDUAL",0,0,55724,22800,0,1,1,1,28.827397260274,1,1,0,0,0,1,0,11.2897944135779,1,0,1
24375," 36 months",17.14,"FL",25.38,1,0,7,9925,62.4,12,0,"INDIVIDUAL",0,0,64086,15900,0,1,0,1,18.5835616438356,1,0,0,0,0,1,0,10.9151066458675,0,0,1
9000," 36 months",11.67,"TX",14.84,0,2,10,8960,53.3,35,0,"INDIVIDUAL",0,0,20275,16800,0,1,0,1,25.4986301369863,1,0,0,0,0,1,0,10.9151066458675,0,0,0
22650," 60 months",14.48,"FL",24.82,0,0,16,18910,18.7,25,0,"INDIVIDUAL",0,0,222099,101300,0,1,0,1,40.827397260274,1,1,0,0,0,1,0,11.2252567257629,0,0,0
10000," 36 months",13.11,"FL",29.06,0,0,7,12157,60.2,17,1,"INDIVIDUAL",0,55,77461,20200,1,1,0,1,25.9123287671233,1,1,0,0,0,1,0,10.3089859934221,0,0,1
21000," 36 months",13.99,"MI",3.43,1,1,7,644,2.3,32,0,"INDIVIDUAL",0,0,80647,23700,0,1,0,0,34.5835616438356,1,0,0,0,0,0,0,11.4075760603618,0,0,1
4000," 36 months",8.18,"CA",9.94,0,0,4,6093,66.2,29,0,"INDIVIDUAL",0,0,250462,9200,0,1,0,1,24.4164383561644,0,1,0,0,1,0,0,10.2750855911327,0,0,1
20000," 36 months",9.49,"NJ",3.24,0,0,9,12472,52.2,19,0,"INDIVIDUAL",0,0,269465,23900,0,0,1,1,25.2465753424658,1,1,0,0,1,0,0,11.1562648066437,1,0,1
30000," 36 months",10.99,"WA",12.59,0,2,7,25838,60.9,16,0,"INDIVIDUAL",0,0,46346,42400,0,0,0,1,25.0794520547945,1,0,0,0,0,1,0,11.4075760603618,0,1,0
12000," 36 months",13.35,"CA",26.45,0,0,11,15131,53.1,26,0,"INDIVIDUAL",0,0,42056,28500,0,0,0,1,23.2465753424658,1,0,0,0,0,1,0,10.8197982842103,0,1,0
20000," 36 months",12.69,"IL",12.94,0,0,14,32692,59.8,28,0,"INDIVIDUAL",0,0,111231,54700,1,1,0,1,22.1643835616438,1,0,0,1,1,0,0,11.0666539872197,0,1,0
6500," 36 months",12.85,"NY",11.05,0,0,11,6710,25.8,14,0,"INDIVIDUAL",0,0,21496,26000,0,1,0,1,35.3315068493151,1,0,0,0,1,0,0,11.2644769261024,0,0,0
14950," 60 months",18.55,"NC",11.59,0,0,9,6089,15.2,24,0,"INDIVIDUAL",0,0,15345,40100,0,0,1,1,26.5835616438356,1,1,0,0,0,0,0,10.8590182281479,1,0,0
28000," 36 months",7.9,"MD",16.44,2,0,19,27439,51.1,53,0,"INDIVIDUAL",0,0,527687,53700,0,1,0,1,42.3315068493151,1,0,0,0,0,1,0,11.7280449090708,0,0,1
3175," 60 months",19.72,"FL",19.4,0,0,8,6119,40.5,10,0,"INDIVIDUAL",0,0,6119,15100,0,0,0,1,19.5835616438356,1,0,0,0,0,1,0,9.39274525863144,0,0,1
25000," 60 months",13.33,"MI",29.82,0,0,8,33221,96.6,15,0,"INDIVIDUAL",0,0,54628,34400,0,0,0,1,28.9123287671233,1,0,0,0,0,1,0,10.9682155307592,0,0,1
10000," 36 months",12.09,"AL",16.52,1,0,11,4121,71,23,0,"INDIVIDUAL",0,0,80647,23700,0,1,0,0,25.1643835616438,1,0,0,0,1,0,0,11.002116507732,0,1,0
14000," 36 months",10.99,"PA",18.81,0,0,8,15019,83.4,29,0,"INDIVIDUAL",0,3904,105555,18000,1,1,0,1,29.7506849315069,1,1,0,0,0,1,0,11.314486721294,0,0,0
12000," 36 months",8.18,"MA",2.95,2,0,5,10085,74.2,19,0,"INDIVIDUAL",0,0,352542,13600,1,1,0,1,23.3315068493151,1,1,0,0,0,1,0,11.2644769261024,0,1,0
8000," 36 months",12.12,"MA",23.79,0,0,9,9175,42.5,16,0,"INDIVIDUAL",0,0,50825,21600,0,1,0,1,18.7506849315069,1,0,0,0,1,0,0,10.8590182281479,0,0,0
10000," 60 months",11.53,"IL",16.82,0,0,5,5203,76.5,10,0,"INDIVIDUAL",0,0,26231,6800,0,0,0,1,38.5835616438356,1,1,0,0,0,0,0,10.8197982842103,0,1,0
15000," 36 months",13.49,"NY",10.77,0,1,5,4039,52.5,26,0,"INDIVIDUAL",0,0,80647,23700,0,1,0,0,24.3315068493151,1,0,0,0,0,1,0,10.6454487065059,0,1,0
20000," 60 months",23.28,"AZ",16.56,0,0,21,13716,90.8,56,0,"INDIVIDUAL",0,0,100588,15100,0,1,0,1,22.9123287671233,1,0,0,0,0,1,0,11.2225865328572,0,1,0
10000," 36 months",21,"CA",4.63,0,0,6,9491,94.9,8,0,"INDIVIDUAL",0,0,9491,10000,0,0,0,1,22.6657534246575,1,0,0,0,0,0,0,11.1562648066437,0,0,1
32200," 60 months",23.99,"DE",22.76,0,1,8,5647,97.4,21,0,"INDIVIDUAL",0,0,242761,5800,1,1,0,1,22.2465753424658,1,1,0,0,0,1,0,11.2962608797537,0,0,1
12000," 36 months",13.53,"NV",20.4,0,3,12,15385,51.1,18,0,"INDIVIDUAL",0,0,77712,30100,0,0,0,1,19.0794520547945,1,0,0,0,0,1,0,10.9151066458675,0,0,0
28500," 60 months",19.52,"IL",17.1,0,1,16,26680,80,40,0,"INDIVIDUAL",0,0,265434,33351,0,0,0,1,23.2465753424658,1,1,0,0,1,0,0,11.0821579333748,0,1,0
5000," 36 months",13.99,"VT",39.82,0,1,8,4116,61.4,11,0,"INDIVIDUAL",0,0,10499,6700,0,0,1,1,35.5835616438356,0,0,0,0,0,1,0,9.82914109040747,1,0,1
9600," 36 months",8.94,"CA",18.19,1,2,16,11361,35,36,0,"INDIVIDUAL",0,0,80647,23700,0,1,0,0,29.6657534246575,1,0,0,1,0,0,1,11.2252567257629,0,0,0
21000," 60 months",17.57,"TX",9.24,1,0,12,19066,61.7,14,0,"INDIVIDUAL",0,53,169362,30900,0,1,0,1,16.4164383561644,1,1,0,0,0,1,0,12.072546967175,0,1,0
19000," 60 months",15.61,"MN",24.29,0,0,21,29361,58.7,41,0,"INDIVIDUAL",0,0,326098,50000,1,1,0,1,24.3315068493151,1,1,0,0,0,0,1,11.8036304637727,0,1,0
30000," 60 months",12.69,"NM",17.48,0,0,11,12114,46.1,17,0,"INDIVIDUAL",0,0,37053,26300,0,0,1,1,34.7506849315068,1,1,0,0,0,1,0,11.2185678270964,1,0,1
12000," 36 months",10.16,"NJ",8.34,1,1,13,8043,55.9,31,0,"INDIVIDUAL",0,187,395846,14400,1,1,0,1,25.9123287671233,1,1,0,0,1,0,0,11.002116507732,0,0,0
25000," 36 months",9.17,"AK",20.32,0,0,6,32006,95.8,19,0,"INDIVIDUAL",0,0,207726,63400,0,0,0,1,35.6657534246575,1,1,0,0,1,0,0,11.592854320009,0,0,1
33000," 36 months",12.59,"MN",33.2,0,0,13,22294,39.8,33,0,"INDIVIDUAL",0,0,159139,56000,1,1,0,1,23.1643835616438,1,1,0,0,1,0,0,11.4927329616823,0,0,1
10000," 36 months",10.49,"CA",24.7,0,1,6,11181,61.1,15,0,"INDIVIDUAL",0,0,369365,18300,1,1,0,1,30.7506849315069,1,1,0,0,0,1,0,11.1844352867906,0,1,0
3000," 36 months",11.83,"FL",19.31,0,1,6,13660,79,20,0,"INDIVIDUAL",0,0,80647,23700,0,0,0,0,33.7506849315068,1,0,0,0,1,0,0,10.9682155307592,0,0,0
6000," 36 months",12.29,"CA",31.33,0,0,12,10851,72.3,29,0,"INDIVIDUAL",0,0,62340,15000,0,0,0,1,22.1643835616438,1,0,0,0,1,0,0,10.9151066458675,0,1,0
24800," 36 months",11.99,"MO",23.55,0,0,23,20573,55.5,35,0,"INDIVIDUAL",0,0,74115,37100,0,0,0,1,18.4986301369863,1,0,0,0,0,1,0,11.2118338856085,0,0,1
20000," 36 months",9.99,"CT",22.82,2,0,16,43263,63.5,27,0,"INDIVIDUAL",0,0,70720,68100,0,1,0,1,41.2465753424658,1,0,0,1,0,1,0,11.6952553550628,0,0,0
14400," 36 months",8.9,"CA",16.74,0,0,11,11446,36,22,0,"INDIVIDUAL",0,0,276730,31800,0,1,0,1,22.9972602739726,1,1,0,0,0,1,0,11.2252567257629,0,0,0
5000," 36 months",10.64,"MO",15.73,0,0,9,8268,81.9,26,0,"INDIVIDUAL",0,0,67636,10100,0,0,0,1,18.3315068493151,1,0,0,0,1,0,0,10.6874119271541,0,0,1
10000," 36 months",6.03,"TX",2.83,0,0,11,1128,3.3,17,0,"INDIVIDUAL",0,0,151986,34000,0,0,0,1,28.4986301369863,1,1,0,0,0,1,0,11.6952553550628,0,0,0
7700," 36 months",13.68,"TX",28.14,0,1,10,18567,62.3,11,0,"INDIVIDUAL",0,0,146879,29800,0,0,1,1,24.2465753424658,1,1,0,0,0,1,0,10.6040074874255,1,0,1
20000," 36 months",18.55,"PA",8.65,0,1,8,12846,85.1,20,0,"INDIVIDUAL",0,0,100560,15100,0,0,0,1,20.9972602739726,1,1,0,0,0,1,0,11.6526961029598,0,0,1
13950," 60 months",19.24,"IL",11.16,0,0,15,9379,92.9,24,0,"INDIVIDUAL",0,883,313168,10100,1,1,1,1,30.2465753424658,1,1,0,0,0,0,1,11.1562648066437,1,0,0
10450," 60 months",19.47,"OR",28.23,0,0,7,22047,93.8,19,0,"INDIVIDUAL",0,0,195371,23500,1,1,0,1,22.4986301369863,1,1,0,0,1,0,0,10.7122153451973,0,1,0
12000," 36 months",6.24,"AZ",33.96,0,0,16,11891,34.4,22,0,"INDIVIDUAL",0,139,35000,34600,0,1,0,1,20.2465753424658,1,1,0,0,1,0,0,10.3089859934221,0,1,0
5000," 36 months",12.39,"NY",21.44,1,0,9,2332,93.3,23,0,"INDIVIDUAL",0,0,116938,2500,1,1,0,1,18.4164383561644,1,0,0,0,0,1,0,10.8590182281479,0,0,0
