"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m"
65354602,69941400,8000,8000,7950," 36 months",15.41,278.94,"Machinist","2 years","MORTGAGE",42000,"Verified","Nov-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=65354602",NA,"credit_card","Credit card refinancing","080xx","NJ",29.74,0,"Jun-2001",0,NA,52,10,1,28858,77.6,15,"f",7645.32,7597.54,544.18,540.78,354.68,189.5,0,0,0,"Jan-2016",278.94,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,168777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37200,NA,NA,NA
25516948,27969939,12000,12000,12000," 36 months",10.99,392.81,"Marketing Specialist ","6 years","RENT",62000,"Source Verified","Sep-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=25516948",NA,"debt_consolidation","Debt consolidation","921xx","CA",19.65,0,"Dec-1994",1,NA,79,17,1,5260,37.3,63,"f",7148.83,7148.83,6284.96,6284.96,4851.17,1433.79,0,0,0,"Jan-2016",392.81,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,62300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14100,NA,NA,NA
42285269,45252062,20000,20000,20000," 36 months",7.89,625.72,"Accounting Manager","9 years","MORTGAGE",70000,"Source Verified","Mar-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=42285269",NA,"credit_card","Credit card refinancing","956xx","CA",26.63,2,"Aug-1996",0,10,NA,4,0,2176,90.7,14,"f",14908.98,14908.98,6268.71,6268.71,5091.02,1177.69,0,0,0,"Jan-2016",625.72,"Feb-2016","Jan-2016",0,10,1,"INDIVIDUAL",NA,NA,NA,0,0,17875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA
6535551,8087697,23850,23850,23850," 60 months",18.85,616.72,"Thrivent","< 1 year","MORTGAGE",86000,"Source Verified","Aug-2013","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=6535551","  Borrower added on 08/09/13 > This loan will provide funding to begin finishing the basement for additional living space in my home.  This should greatly increase the value of my home as well as provide increased enjoyment.  Thanks!<br>","home_improvement","Basement fun soon to come! ","430xx","OH",12.74,0,"Jul-2002",4,NA,NA,11,0,5653,63.5,18,"w",0,0,28399.884283,28399.88,23850,4549.88,0,0,0,"Sep-2014",21009.56,NA,"Mar-2015",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,307458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8900,NA,NA,NA
55240060,58820827,15000,15000,15000," 60 months",7.89,303.36,"School counselor","9 years","RENT",86000,"Not Verified","Jul-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=55240060",NA,"debt_consolidation","Debt consolidation","105xx","NY",17.11,2,"Jun-1998",0,17,NA,18,0,25686,49.5,35,"w",13751.22,13751.22,1813.58,1813.58,1248.78,564.8,0,0,0,"Jan-2016",303.36,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,420275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51900,NA,NA,NA
32068175,34671337,7200,7200,7200," 36 months",8.39,226.92,"sales","< 1 year","MORTGAGE",20000,"Source Verified","Oct-2014","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=32068175",NA,"credit_card","Credit card refinancing","612xx","IL",20.23,1,"Dec-1999",1,18,NA,8,0,8371,44.7,16,"w",4612.33,4612.33,3173.52,3173.52,2587.67,585.85,0,0,0,"Dec-2015",226.92,"Jan-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,68761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18707,NA,NA,NA
6175742,7667885,35000,35000,35000," 36 months",14.33,1201.84,"Department of Homeland Security","10+ years","MORTGAGE",128900,"Verified","Jul-2013","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=6175742",NA,"credit_card","Consolidation","641xx","MO",9.3,0,"Jan-1991",1,NA,NA,10,0,11706,36.2,15,"w",0,0,42791.03,42791.03,35000,7791.03,0,0,0,"Nov-2015",10341.35,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,52267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32300,NA,NA,NA
46114336,49222062,5575,5575,5575," 36 months",7.89,174.42,"Merchandise Analyst","10+ years","RENT",50000,"Not Verified","Apr-2015","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=46114336",NA,"debt_consolidation","Debt consolidation","281xx","NC",27.29,0,"Jul-1996",1,NA,NA,12,0,12975,31.1,21,"f",0,0,5592.11,5592.11,5575,17.11,0,0,0,"May-2015",5594.55,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,91267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41700,NA,NA,NA
54197334,57738054,10000,10000,9950," 60 months",16.99,248.48,"Admin assistant","< 1 year","MORTGAGE",33000,"Not Verified","Jul-2015","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=54197334",NA,"debt_consolidation","Debt consolidation","721xx","AR",38.29,1,"Mar-1990",0,5,NA,14,0,9542,37.3,27,"f",9335.48,9288.81,1472,1464.64,664.52,807.48,0,0,0,"Jan-2016",248.48,"Feb-2016","Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,106779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25600,NA,NA,NA
18925490,21178174,6000,6000,6000," 36 months",13.98,205.01,"Warehouse Clerk","5 years","OWN",40000,"Source Verified","Jun-2014","Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=18925490",NA,"debt_consolidation","Debt consolidation","130xx","NY",17.76,0,"Oct-1994",0,NA,71,6,1,7779,59.8,6,"w",0,0,1355.08,1355.08,834.64,505.44,15,0,0,"Feb-2015",125.02,NA,"Jan-2016",0,NA,1,"INDIVIDUAL",NA,NA,NA,0,0,25257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,NA,NA,NA
